Name,Formula,DeltaMass,MW,m/z,RT,Class of compounds,row_colors,Cluster,SilhouetteScore,HC_Cluster,HC_Silhouette,PCA_Silhouette,OPLS_Silhouette,Average_Silhouette
(±)-Malic acid,C4 H6 O5,-0.89,134.0214,133.01413,0.974,Polyphenolic,"(0.33999999999999997, 0.5167999999999995, 0.86)",3,0.372811638247389,2,0.5981248970852933,0.6174302056472477,0.7214937762766552,0.645682959669732
Digallic acid,C14 H10 O9,-0.3,322.03239,321.02512,4.951,Polyphenolic,"(0.33999999999999997, 0.5167999999999995, 0.86)",1,0.1909027332973906,2,0.5796883183591353,0.5795266990603456,0.47485651429248354,0.5446905105706548
Glucogallin,C13 H16 O10,0.34,332.07446,331.0672,1.331,Polyphenolic,"(0.33999999999999997, 0.5167999999999995, 0.86)",3,0.18149557932392713,2,0.4477914907558677,0.5505801129102151,0.04987914819592386,0.34941691728733554
D-Gluconic acid,C6 H12 O7,-1.63,196.05798,195.0507,0.867,Polyphenolic,"(0.33999999999999997, 0.5167999999999995, 0.86)",2,0.2570039257486044,2,0.5585629478848073,0.6083917505133345,0.7094992173323017,0.6254846385768146
Glycyrrhizin,C42 H62 O16,0.04,822.40382,821.39655,10.343,Terpenoid,"(0.4752000000000003, 0.33999999999999997, 0.86)",0,0.3621276054408332,1,0.4180069419598111,0.27144417432022566,0.39617641638098017,0.36187584422033897
Kermesic Acid,C16 H10 O8,-0.33,330.03746,329.03018,8.264,Polyphenolic,"(0.33999999999999997, 0.5167999999999995, 0.86)",1,0.5178598540511649,2,0.5379640403971787,0.5954232181293779,0.33408374504556676,0.48915700119070776
Methyl gallate,C8 H8 O5,-1.12,184.03697,183.02969,4.961,Polyphenolic,"(0.33999999999999997, 0.5167999999999995, 0.86)",3,0.23679396448640008,2,0.6156974345221919,0.4038180228619975,0.18988626109733026,0.40313390616050654
Mesaconic acid,C5 H6 O4,-1.25,130.02645,111.00861,1.145,Polyphenolic,"(0.33999999999999997, 0.5167999999999995, 0.86)",3,0.13173859123318757,2,0.5795594659560124,0.6317543530419004,0.6922985213465663,0.634537446781493
L-Pyroglutamic acid,C5 H7 N O3,-1.12,129.04245,128.03517,1.163,Amino Acid,"(0.86, 0.6832, 0.33999999999999997)",3,0.23810431195345508,2,0.5942225683084108,0.6335222224211005,0.7080051212377645,0.6452499706557585
Punicalagin,C48 H28 O30,-0.1,1084.06643,541.02594,4.148,Polyphenolic,"(0.33999999999999997, 0.5167999999999995, 0.86)",0,0.35758283809923175,1,0.6335611837374551,0.23877707212240298,0.4666420918171985,0.44632678255901886
Azelaic acid,C9 H16 O4,-0.9,188.10469,187.09741,7.77,Lipid,"(0.33999999999999997, 0.8287999999999999, 0.86)",1,0.0853710202454799,2,0.5910500248353326,0.1179475337169106,0.23108733242660534,0.3133616303262829
L-(?)-Asparagine,C4 H8 N2 O3,-0.55,132.05342,131.04614,0.813,Amino Acid,"(0.86, 0.6832, 0.33999999999999997)",3,0.48148565376567665,2,0.5768670754625588,0.5658508989064481,0.7226255097038325,0.6217811613576132
"1,2,3,4,6-Pentagalloyl glucose",C41 H32 O26,-0.02,940.11816,469.05185,6.186,Polyphenolic,"(0.33999999999999997, 0.5167999999999995, 0.86)",0,0.36284530060578685,1,0.6273135757941621,0.4367813134497293,0.5738571114958303,0.545984000246574
Sinapinic acid,C11 H12 O5,-0.86,224.06828,223.061,7.2,Polyphenolic,"(0.33999999999999997, 0.5167999999999995, 0.86)",1,0.15550514277631616,2,0.6126128280697494,0.2759712634192513,0.3750423279460068,0.42120880647833586
Bergenin,C14 H16 O9,-0.22,328.07936,327.07208,6.333,Polyphenolic,"(0.33999999999999997, 0.5167999999999995, 0.86)",1,0.3769252668657934,2,0.5589881574964428,0.6426874307444722,0.29869154093753203,0.5001223763928156
6-O-galloyl-?-D-glucose,C13 H16 O10,0.4,332.07448,331.0672,1.136,Polyphenolic,"(0.33999999999999997, 0.5167999999999995, 0.86)",3,0.18963867965442405,2,0.43471159493235717,0.5519349281112594,0.07964882731841058,0.35543178345400905
Protocatechuic acid,C7 H6 O4,-0.79,154.02649,153.01921,3.861,Polyphenolic,"(0.33999999999999997, 0.5167999999999995, 0.86)",3,0.4134199840512585,2,0.6235143588747156,0.47477290009331874,0.19323262174624933,0.43050662690476127
Geraniin,C41 H28 O27,0.34,952.08211,475.03381,6.063,Polyphenolic,"(0.33999999999999997, 0.5167999999999995, 0.86)",0,0.35467094708987507,1,0.6145641440973373,0.47952094921267746,0.5708598672969024,0.5549816535356391
chebulinic acid,C41 H32 O27,-0.48,956.11264,477.04904,6.279,Polyphenolic,"(0.33999999999999997, 0.5167999999999995, 0.86)",0,0.36607191859316485,1,0.6275139640581844,0.3005248256937064,0.5690462403563011,0.49902834336939733
Aconitic acid,C6 H6 O6,-1.5,174.01618,173.0089,1.145,Polyphenolic,"(0.33999999999999997, 0.5167999999999995, 0.86)",2,0.109048769326382,2,0.5759908551548538,0.6376980747229928,0.731722205723987,0.6484703785339446
Pinocembrin,C15 H12 O4,-0.59,256.07341,255.06613,9.574,Flavonoid,"(0.41279999999999994, 0.86, 0.33999999999999997)",1,0.47321141036419745,2,0.5596252155613203,0.6309439829781671,0.47112940478415943,0.5538995344412156
D-Glucopyranuronic acid,C6 H10 O7,-1.67,194.04233,193.03505,0.874,Carbohydrate,"(0.7247999999999999, 0.86, 0.33999999999999997)",2,0.2856554091069104,2,0.554235841096134,0.6085800222773399,0.7124827199985282,0.6250995277906674
sinapoylglucose,C17 H22 O10,-0.89,386.12095,385.11368,6.017,Polyphenolic,"(0.33999999999999997, 0.5167999999999995, 0.86)",1,0.33727567252487906,2,0.4893341508524319,0.33134951353687264,0.25343989197925276,0.35804118545618574
Rehmapicroside,C16 H26 O8,-1.51,346.16224,345.15497,7.074,Glycoside,"(0.33999999999999997, 0.86, 0.5792000000000002)",1,0.3195458950131401,2,0.4243232677550169,0.2395512530254685,0.2795840596372404,0.3144861934725753
Glucuronolactone,C6 H8 O6,-1.07,176.0319,175.02461,1.946,Carbohydrate,"(0.7247999999999999, 0.86, 0.33999999999999997)",3,0.2968614196409464,2,0.6203964739412565,0.6125994808091721,0.6521688458715347,0.6283882668739879
Isorhamnetin,C16 H12 O7,0.48,316.05845,315.05118,7.423,Flavonoid,"(0.41279999999999994, 0.86, 0.33999999999999997)",1,0.4003009206960318,2,0.40610437925786186,0.6188974315093055,0.20300703604838588,0.4093362822718511
